normalised_merchant,detailed_category,confidence,source,review_status,notes
betfred,gambling_betting,high,llm_proposed,pending,
betfair,gambling_betting,high,llm_proposed,pending,
betvictor,gambling_betting,high,llm_proposed,pending,
virgin bet,gambling_betting,high,llm_proposed,pending,
betway,gambling_betting,high,llm_proposed,pending,
unibet,gambling_betting,high,llm_proposed,pending,
livescore bet,gambling_betting,high,llm_proposed,pending,
boylesports,gambling_betting,high,llm_proposed,pending,
lc international,gambling_betting,high,llm_proposed,pending,Ladbrokes Coral trading entity
electraworks limit,gambling_casino,high,llm_proposed,pending,Entain/bwin trading entity
skill on net ltd,gambling_casino,high,llm_proposed,pending,casino operator
virgin games,gambling_casino,high,llm_proposed,pending,
monopoly casino,gambling_casino,high,llm_proposed,pending,
32 red online casino,gambling_casino,high,llm_proposed,pending,
rainbow riches casino,gambling_casino,high,llm_proposed,pending,
grosvenor casinos,gambling_casino,high,llm_proposed,pending,
888 games,gambling_casino,high,llm_proposed,pending,
tombola,gambling_bingo,high,llm_proposed,pending,
mecca bingo,gambling_bingo,high,llm_proposed,pending,
jackpot joy,gambling_bingo,high,llm_proposed,pending,
sun bingo,gambling_bingo,high,llm_proposed,pending,
double bubble bingo,gambling_bingo,high,llm_proposed,pending,
butlers bingo,gambling_bingo,high,llm_proposed,pending,
buzz group ltd,gambling_bingo,high,llm_proposed,pending,Buzz Bingo
mrq,gambling_casino,high,llm_proposed,pending,MrQ casino
the national lottery,gambling_lottery,high,llm_proposed,pending,
postcode lottery,gambling_lottery,high,llm_proposed,pending,
lotto land,gambling_lottery,high,llm_proposed,pending,
that prize guy,prize_competitions,high,llm_proposed,pending,prize competition - gambling-adjacent
clearpay,bnpl,high,llm_proposed,pending,
zilch,bnpl,high,llm_proposed,pending,
klarna,bnpl,high,llm_proposed,pending,
laybuy,bnpl,high,llm_proposed,pending,
monzo flex,bnpl,high,llm_proposed,pending,
paypal credit,bnpl,high,llm_proposed,pending,
capital one,credit_card_repayment,high,llm_proposed,pending,
barclaycard,credit_card_repayment,high,llm_proposed,pending,
vanquis bank,credit_card_repayment,high,llm_proposed,pending,subprime card - Plaid mislabels as personal loan
aqua,credit_card_repayment,high,llm_proposed,pending,NewDay subprime card
newday limited,credit_card_repayment,high,llm_proposed,pending,issuer of Aqua/Marbles
zable credit card,credit_card_repayment,high,llm_proposed,pending,
american express,credit_card_repayment,high,llm_proposed,pending,
creation online,retail_finance_repayment,high,llm_proposed,pending,Creation Finance - retail credit
v12 retail finance,retail_finance_repayment,high,llm_proposed,pending,
barclays partner finance,retail_finance_repayment,high,llm_proposed,pending,
very,catalogue_retail,high,llm_proposed,pending,catalogue with embedded credit
jd williams,catalogue_retail,high,llm_proposed,pending,catalogue with embedded credit
next directory,catalogue_retail,high,llm_proposed,pending,catalogue with embedded credit
zopa,personal_loan_repayment,high,llm_proposed,pending,
lendable,personal_loan_repayment,high,llm_proposed,pending,
creditspring,payday_loan,high,llm_proposed,pending,subscription lending - high cost
118 money,payday_loan,high,llm_proposed,pending,high-cost lender
lending stream,payday_loan,high,llm_proposed,pending,high-cost short-term lender
lowell financial,debt_collection,high,llm_proposed,pending,
moorcroft debt recovery,debt_collection,high,llm_proposed,pending,
cabot,debt_collection,high,llm_proposed,pending,Cabot Credit Management
raylo,retail_finance_repayment,high,llm_proposed,pending,"RAYLO'S OWN PRODUCT - 11,226 txns. Consider a dedicated leaf"
revolut,transfer_own_account,medium,llm_proposed,pending,neobank - could be transfer or spend
monzo,transfer_own_account,medium,llm_proposed,pending,neobank
starling bank,transfer_own_account,medium,llm_proposed,pending,neobank
halifax,financial_institution_unspecified,low,llm_proposed,pending,bank name only - purpose unknown
lloyds,financial_institution_unspecified,low,llm_proposed,pending,
natwest,financial_institution_unspecified,low,llm_proposed,pending,
santander bank,financial_institution_unspecified,low,llm_proposed,pending,
barclays,financial_institution_unspecified,low,llm_proposed,pending,
nationwide,financial_institution_unspecified,low,llm_proposed,pending,
tsb,financial_institution_unspecified,low,llm_proposed,pending,
hsbc,financial_institution_unspecified,low,llm_proposed,pending,
tesco bank,financial_institution_unspecified,low,llm_proposed,pending,
paypal,payment_intermediary,high,llm_proposed,pending,obscures underlying merchant
gocardless,payment_intermediary,high,llm_proposed,pending,
stripe,payment_intermediary,high,llm_proposed,pending,
mangopay,payment_intermediary,high,llm_proposed,pending,
trustly group,payment_intermediary,high,llm_proposed,pending,
gohenry,prepaid_card,high,llm_proposed,pending,children's prepaid card
remitly,transfer_international,high,llm_proposed,pending,remittance
taptap send uk limited,transfer_international,high,llm_proposed,pending,remittance
coinbase,crypto,high,llm_proposed,pending,
save the change,savings_transfer,high,llm_proposed,pending,Lloyds round-up
save the pennies,savings_transfer,high,llm_proposed,pending,round-up
plum,savings_transfer,high,llm_proposed,pending,
moneybox,savings_transfer,high,llm_proposed,pending,
loqbox,savings_transfer,medium,llm_proposed,pending,savings-based credit builder - arguably credit_reporting_service
universal credit,benefits_state,high,llm_proposed,pending,
child benefits,benefits_state,high,llm_proposed,pending,
carers allowance,benefits_state,high,llm_proposed,pending,
personal independence payment,benefits_state,high,llm_proposed,pending,
employment and support allowance,benefits_state,high,llm_proposed,pending,
disability living allowance,benefits_state,high,llm_proposed,pending,
child tax credit,benefits_state,high,llm_proposed,pending,
housing benefits,benefits_state,high,llm_proposed,pending,
pension credit,benefits_state,high,llm_proposed,pending,
state pension,pension_received,high,llm_proposed,pending,
child maintenance,income_other_unspecified,medium,llm_proposed,pending,direction-dependent: received or paid
overpayments,income_other_unspecified,low,llm_proposed,pending,likely benefit overpayment recovery - ambiguous
hmrc,tax_payment,medium,llm_proposed,pending,direction-dependent: tax paid vs refund received
hm revenue and customs,tax_payment,medium,llm_proposed,pending,direction-dependent
british gas,energy,high,llm_proposed,pending,
utilita,energy,high,llm_proposed,pending,
ovo energy,energy,high,llm_proposed,pending,
scottish power,energy,high,llm_proposed,pending,
octopus energy,energy,high,llm_proposed,pending,
e.on,energy,high,llm_proposed,pending,
edf,energy,high,llm_proposed,pending,
united utilities,water,high,llm_proposed,pending,
severn trent,water,high,llm_proposed,pending,
thames water,water,high,llm_proposed,pending,
anglian water,water,high,llm_proposed,pending,
tv licensing,tv_licence,high,llm_proposed,pending,
o2,mobile_phone_contract,high,llm_proposed,pending,
vodafone,mobile_phone_contract,high,llm_proposed,pending,
ee mobile,mobile_phone_contract,high,llm_proposed,pending,
three,mobile_phone_contract,high,llm_proposed,pending,
sky mobile,mobile_phone_contract,high,llm_proposed,pending,
tesco mobile,mobile_phone_contract,high,llm_proposed,pending,
id mobile,mobile_phone_contract,high,llm_proposed,pending,
giffgaff.com,mobile_phone_contract,high,llm_proposed,pending,
voxi,mobile_phone_contract,high,llm_proposed,pending,
smarty,mobile_phone_contract,high,llm_proposed,pending,
lebara,mobile_phone_contract,high,llm_proposed,pending,
sky,broadband_tv_phone,high,llm_proposed,pending,Plaid mislabels as telecoms/mobile
virgin media,broadband_tv_phone,high,llm_proposed,pending,
bt,broadband_tv_phone,high,llm_proposed,pending,
talktalk,broadband_tv_phone,high,llm_proposed,pending,
domestic and general,insurance_general,high,llm_proposed,pending,appliance warranty/insurance
tfl,public_transport_rail_coach,high,llm_proposed,pending,
transport for london,public_transport_rail_coach,high,llm_proposed,pending,
thetrainline,public_transport_rail_coach,high,llm_proposed,pending,
arriva,public_transport_rail_coach,high,llm_proposed,pending,
stagecoach,public_transport_rail_coach,high,llm_proposed,pending,
first bus,public_transport_rail_coach,high,llm_proposed,pending,
national express,public_transport_rail_coach,high,llm_proposed,pending,
go north east,public_transport_rail_coach,high,llm_proposed,pending,
lothian buses,public_transport_rail_coach,high,llm_proposed,pending,
go south coast,public_transport_rail_coach,high,llm_proposed,pending,
citylink,public_transport_rail_coach,medium,llm_proposed,pending,Scottish Citylink coaches; may collide with defunct courier
uber,taxi_rideshare,high,llm_proposed,pending,rides - distinct from uber eats
bolt,taxi_rideshare,high,llm_proposed,pending,
shell,fuel,high,llm_proposed,pending,
bp,fuel,high,llm_proposed,pending,
esso,fuel,high,llm_proposed,pending,
texaco,fuel,high,llm_proposed,pending,
motor fuel group,fuel,high,llm_proposed,pending,
applegreen,fuel,high,llm_proposed,pending,
tesco fuel,fuel,high,llm_proposed,pending,
asda (petrol),fuel,high,llm_proposed,pending,
morrisons (petrol),fuel,high,llm_proposed,pending,
sainsbury's petrol,fuel,high,llm_proposed,pending,
dvla,road_tax,high,llm_proposed,pending,
ringgo parking,car_parking,high,llm_proposed,pending,
apcoa parking,car_parking,high,llm_proposed,pending,
ncp,car_parking,high,llm_proposed,pending,
mipermit,car_parking,high,llm_proposed,pending,
pay by phone,car_parking,high,llm_proposed,pending,
halfords,vehicle_maintenance,high,llm_proposed,pending,
aa,breakdown_cover,high,llm_proposed,pending,
rac,breakdown_cover,high,llm_proposed,pending,
hastings direct,insurance_motor,high,llm_proposed,pending,
admiral insurance,insurance_motor,high,llm_proposed,pending,
ryanair,flights,high,llm_proposed,pending,
easyjet,flights,high,llm_proposed,pending,
booking.com,accommodation,high,llm_proposed,pending,
trip.com,accommodation,high,llm_proposed,pending,
haven holidays,holiday_uk,high,llm_proposed,pending,
loveholidays.com,holiday_package,high,llm_proposed,pending,
netflix,streaming,high,llm_proposed,pending,video streaming subscription
spotify,streaming,high,llm_proposed,pending,
disney plus,streaming,high,llm_proposed,pending,
amazon prime video,streaming,high,llm_proposed,pending,
now tv,streaming,high,llm_proposed,pending,
audible,streaming,high,llm_proposed,pending,
prime,streaming,medium,llm_proposed,pending,Amazon Prime subscription - 161k txns
apple app store,software,high,llm_proposed,pending,
google play,software,high,llm_proposed,pending,
microsoft,software,high,llm_proposed,pending,Plaid mislabels as computing hardware
mircosoft,software,high,llm_proposed,pending,misspelling in source data
adobe,software,high,llm_proposed,pending,
google,software,medium,llm_proposed,pending,ambiguous - could be Play/Workspace/Ads
apple,software,medium,llm_proposed,pending,ambiguous - App Store vs hardware
playstation,gaming_console_pc,high,llm_proposed,pending,
xbox,gaming_console_pc,high,llm_proposed,pending,
steamgames,gaming_console_pc,high,llm_proposed,pending,
nintendo,gaming_console_pc,high,llm_proposed,pending,
sony,gaming_console_pc,medium,llm_proposed,pending,could be PlayStation or consumer electronics
play.com,gaming_console_pc,low,llm_proposed,pending,AMBIGUOUS 300k txns - defunct retailer vs Google/PlayStation. NEEDS REVIEW
tiktok,online_services,medium,llm_proposed,pending,in-app purchases/gifting
facebook,online_services,medium,llm_proposed,pending,
onlyfans,adult_entertainment,high,llm_proposed,pending,age-restricted
ring.com,home_accessories,medium,llm_proposed,pending,smart doorbell - device + subscription
amazon,marketplace_amazon,high,llm_proposed,pending,
ebay,marketplace_general,high,llm_proposed,pending,split from marketplace_amazon 2026-08-19
vinted,marketplace_general,high,llm_proposed,pending,secondhand marketplace - Equifax says fashion
etsy,marketplace_general,medium,llm_proposed,pending,
aliexpress,marketplace_general,high,llm_proposed,pending,
marketplace,marketplace_general,low,llm_proposed,pending,AMBIGUOUS 405k txns - likely Facebook Marketplace. NEEDS REVIEW
argos,catalogue_retail,high,llm_proposed,pending,
home retail,catalogue_retail,high,llm_proposed,pending,Argos parent
marks and spencer,department_store,high,llm_proposed,pending,Equifax mislabels as credit card (M&S Bank)
primark,clothing_general,high,llm_proposed,pending,
shein,clothing_general,high,llm_proposed,pending,
h&m,clothing_general,high,llm_proposed,pending,
zara,clothing_general,high,llm_proposed,pending,
asos,clothing_general,high,llm_proposed,pending,
boohoo,clothing_general,high,llm_proposed,pending,
new look,clothing_general,high,llm_proposed,pending,
river island,clothing_general,high,llm_proposed,pending,
matalan,clothing_general,high,llm_proposed,pending,
burton,clothing_general,high,llm_proposed,pending,
next,clothing_general,high,llm_proposed,pending,
tk maxx,clothing_general,high,llm_proposed,pending,
pretty little things,clothing_general,high,llm_proposed,pending,
george at asda,clothing_general,high,llm_proposed,pending,
jd sports,sportswear,high,llm_proposed,pending,
sports direct,sportswear,high,llm_proposed,pending,
nike,sportswear,high,llm_proposed,pending,
boots,pharmacy,medium,llm_proposed,pending,pharmacy + beauty - genuine mixed basket
superdrug,pharmacy,medium,llm_proposed,pending,pharmacy + beauty
savers health,pharmacy,medium,llm_proposed,pending,
holland & barrett,supplements,high,llm_proposed,pending,
specsavers,optician,high,llm_proposed,pending,
currys,computing_devices,high,llm_proposed,pending,
cex,computing_devices,high,llm_proposed,pending,secondhand electronics
ikea,home_accessories,high,llm_proposed,pending,
dunelm,home_accessories,high,llm_proposed,pending,
b&q (diy.com),home_improvement,high,llm_proposed,pending,
wickes,home_improvement,high,llm_proposed,pending,
screwfix,tools,high,llm_proposed,pending,
toolstation,tools,high,llm_proposed,pending,
card factory,gifts_flowers,high,llm_proposed,pending,
moonpig,gifts_flowers,high,llm_proposed,pending,
smyths toys,toys,high,llm_proposed,pending,
w.h.smith,books,high,llm_proposed,pending,
pets at home,pet_supplies,high,llm_proposed,pending,
vets gen,veterinary,medium,llm_proposed,pending,veterinary practice
animal friends insurance,insurance_pet,high,llm_proposed,pending,
royal mail,delivery_courier,high,llm_proposed,pending,
post office,government_services,medium,llm_proposed,pending,"mixed: postal, banking, bill payment"
u.s. post office,delivery_courier,low,llm_proposed,pending,US entity in UK data - likely mislabel
pure gym,gym_fitness,high,llm_proposed,pending,
the gym website,gym_fitness,high,llm_proposed,pending,
vue cinemas,cinema,high,llm_proposed,pending,
cineworld,cinema,high,llm_proposed,pending,
odeon,cinema,high,llm_proposed,pending,
legal & general,insurance_life,high,llm_proposed,pending,
aviva li,insurance_life,high,llm_proposed,pending,
aviva,insurance_general,high,llm_proposed,pending,
sunlife,insurance_life,high,llm_proposed,pending,
parent pay,school_fees,high,llm_proposed,pending,school payment platform
e,unclassified_other,low,llm_proposed,pending,JUNK STRING 21k txns - truncated merchant name
current,unclassified_other,low,llm_proposed,pending,JUNK STRING 21k txns
debit finance,unclassified_other,low,llm_proposed,pending,DD collection agent - underlying purpose unknown
apple store gb,computing_devices,medium,llm_proposed,pending,Apple retail - hardware
marks & spencer,department_store,medium,gating_adjudication,approved,alias of 'marks and spencer' - M&S Bank credit card vs store entity split
freemans,catalogue_retail,low,gating_adjudication,approved,"Plaid native 100% marketplace; Equifax's own retail-finance tag reflects its dictionary convention, not independent evidence"
betuk,gambling_casino,low,gating_adjudication,approved,"evidence-backed: eqx 100% Poker and Casino Games, despite betting-sounding brand name"
the bottle shop,alcohol_beer_spirits,medium,gating_adjudication,approved,evidence-backed: eqx 100% Alcoholic Beverages Wines
rangers fc,sports_tickets,low,gating_adjudication,approved,evidence-backed: eqx 97% Sporting General
st vincent de paul society,charitable_donation,medium,gating_adjudication,approved,"evidence-backed: eqx 99% Charitable Giving, overrides LLM's charity_shop guess"
arsenal fc,sports_tickets,low,gating_adjudication,approved,evidence-backed: eqx 95% Sporting General
habitat,home_accessories,medium,gating_adjudication,approved,evidence-backed: eqx 85% Home Improvements
tiso,clothing_outdoor,low,gating_adjudication,approved,evidence-backed: eqx 70% Sports Equipment; outdoor-gear retailer
reeds rains,estate_agent,low,gating_adjudication,approved,evidence-backed: eqx 96% Property Rental; safe either way (housing general category)
jigsaw homes,rent,medium,gating_adjudication,approved,human-adjudicated correct_leaf (gating review) - housing-association payment
emmaus,charity_shop,low,gating_adjudication,approved,evidence-backed: eqx 77% Charitable Giving; charity_shop and charitable_donation share a general category
scrumbles,pet_supplies,medium,gating_adjudication,approved,evidence-backed: eqx 98% Pet Care
secc arena,days_out,medium,gating_adjudication,approved,"evidence-backed: eqx 100% Days Out, overrides LLM's live_music guess"
the cash shop,payday_loan,medium,gating_adjudication,approved,"evidence-backed: eqx 97% Payday Loans, overrides LLM's pawnbroker guess"
toffs,sportswear,medium,gating_adjudication,approved,evidence-backed: eqx 100% Sportswear
kickers,footwear,medium,gating_adjudication,approved,evidence-backed: eqx 95% General Fashion
extracare,charitable_donation,medium,gating_adjudication,approved,"evidence-backed: eqx 100% Charitable Giving, overrides LLM's adult_care guess"
bh live tickets,live_music,medium,gating_adjudication,approved,"evidence-backed: eqx 100% Music Tickets, overrides LLM's sports_tickets guess"
taco bell,takeaway,high,gating_adjudication,approved,
omaze,prize_competitions,high,gating_adjudication,approved,
the entertainer,toys,high,gating_adjudication,approved,
canva,software,high,gating_adjudication,approved,
depop,marketplace_amazon,high,gating_adjudication,approved,
beryl,bicycle,high,gating_adjudication,approved,
euro car parts,spares_repairs,high,gating_adjudication,approved,
parkdean resorts,holiday_uk,high,gating_adjudication,approved,
central convenience stores,convenience_store,high,gating_adjudication,approved,
hmv,physical_media,high,gating_adjudication,approved,
go outdoors,clothing_outdoor,high,gating_adjudication,approved,
british heart foundation,charity_shop,high,gating_adjudication,approved,
schuh,footwear,high,gating_adjudication,approved,
popeyes,takeaway,high,gating_adjudication,approved,
revolucion de cuba,pub_bar,high,gating_adjudication,approved,
crunchyroll,streaming,high,gating_adjudication,approved,
youtube premium,streaming,high,gating_adjudication,approved,
ryman,stationery,high,gating_adjudication,approved,
school gateway,school_fees,high,gating_adjudication,approved,
clarks,footwear,high,gating_adjudication,approved,
pharmacy2u,pharmacy,high,gating_adjudication,approved,
mountain warehouse,clothing_outdoor,high,gating_adjudication,approved,
tails.com,pet_supplies,high,gating_adjudication,approved,
center parcs,holiday_uk,high,gating_adjudication,approved,
hotel chocolat,confectionary,high,gating_adjudication,approved,
botb,prize_competitions,high,gating_adjudication,approved,
beauty outlet,health_beauty_general,high,gating_adjudication,approved,
lookfantastic,health_beauty_general,high,gating_adjudication,approved,
schoolmoney,school_fees,high,gating_adjudication,approved,
supercell,gaming_mobile,high,gating_adjudication,approved,
super pound saver,discount_store,high,gating_adjudication,approved,
competition fox,prize_competitions,high,gating_adjudication,approved,
glossybox,health_beauty_general,high,gating_adjudication,approved,
uphold,crypto,high,gating_adjudication,approved,
click competitions,prize_competitions,high,gating_adjudication,approved,
vistaprint,printing_services,high,gating_adjudication,approved,
flannels,clothing_general,high,gating_adjudication,approved,
the bike club,bicycle,high,gating_adjudication,approved,
carrefour,groceries,high,gating_adjudication,approved,
treatwell,beauty_treatment,high,gating_adjudication,approved,
skechers,footwear,high,gating_adjudication,approved,
walkabout,pub_bar,high,gating_adjudication,approved,
hayu,streaming,high,gating_adjudication,approved,
wynsors,footwear,high,gating_adjudication,approved,
anyvan,delivery_courier,high,gating_adjudication,approved,
the cricketers,pub_bar,high,gating_adjudication,approved,
pizza express,restaurant_cafe,high,gating_adjudication,approved,
thistle insurance,insurance_general,high,gating_adjudication,approved,
mojang,gaming_console_pc,high,gating_adjudication,approved,
boux avenue,clothing_womens,high,gating_adjudication,approved,
saltrock surfwear,clothing_outdoor,high,gating_adjudication,approved,
the tanning rooms,beauty_treatment,high,gating_adjudication,approved,
crocs,footwear,high,gating_adjudication,approved,
feel good contacts,optician,high,gating_adjudication,approved,
ann summers,adult_products,high,gating_adjudication,approved,
v kent minimart ltd,convenience_store,high,gating_adjudication,approved,
gumtree,marketplace_amazon,high,gating_adjudication,approved,
deezer,streaming,high,gating_adjudication,approved,
jagex,gaming_online,high,gating_adjudication,approved,
back market uk ltd,marketplace_refurbished,high,gating_adjudication,approved,
student loans company,student_loan_repayment,high,gating_adjudication,approved,Student Loans Company includes both disbursements and repayments; transaction direction is required.
the white company,home_accessories,high,gating_adjudication,approved,
bandcamp,music_other,high,gating_adjudication,approved,
ancoats general store,convenience_store,high,gating_adjudication,approved,
cosmetix limited,health_beauty_general,high,gating_adjudication,approved,"Merchant name and available categories do not establish whether this is a beauty retailer, manufacturer or treatment provider."
brittany ferries,ferry_rail_travel,high,gating_adjudication,approved,
quiz clothing,clothing_womens,high,gating_adjudication,approved,
tick tock loans,payday_loan,high,gating_adjudication,approved,
huel,groceries_specialist,high,gating_adjudication,approved,
kilted competition,prize_competitions,high,gating_adjudication,approved,
marisota,clothing_womens,high,gating_adjudication,approved,
new balance,sportswear,high,gating_adjudication,approved,
castle bingo,gambling_bingo,high,gating_adjudication,approved,
bonmarche,clothing_womens,high,gating_adjudication,approved,
deichmann,footwear,high,gating_adjudication,approved,
the bat and ball,pub_bar,high,gating_adjudication,approved,
mainline menswear,clothing_mens,high,gating_adjudication,approved,
delikatesy smaczek,groceries_specialist,high,gating_adjudication,approved,
tian tian market,groceries_specialist,high,gating_adjudication,approved,
mcafee,software,high,gating_adjudication,approved,
gift company,gifts_flowers,high,gating_adjudication,approved,
leasys uk ltd,car_lease,high,gating_adjudication,approved,
tariq halal meats,groceries_specialist,high,gating_adjudication,approved,
lightinthebox,retail_tv_online_shopping,high,gating_adjudication,approved,
bravissimo,clothing_womens,high,gating_adjudication,approved,
iss food,catering,high,gating_adjudication,approved,
ellis brigham,clothing_outdoor,high,gating_adjudication,approved,
grab-a-bite,takeaway,high,gating_adjudication,approved,
the tan studio limited,beauty_treatment,high,gating_adjudication,approved,
banquet records,physical_media,high,gating_adjudication,approved,
chip shed bourton limited,takeaway,high,gating_adjudication,approved,
planet organic,groceries_specialist,high,gating_adjudication,approved,
wawel polski sklep,groceries_specialist,high,gating_adjudication,approved,
online carpets,home_accessories,high,gating_adjudication,approved,
topshop,clothing_womens,high,gating_adjudication,approved,
tasty plaice,takeaway,high,gating_adjudication,approved,
freetrade,investment_trading,high,gating_adjudication,approved,
harvey nichols,department_store,high,gating_adjudication,approved,
craft gin club,alcohol_beer_spirits,high,gating_adjudication,approved,
stop n shop ltd,convenience_store,high,gating_adjudication,approved,
rated people,tradesmen,high,gating_adjudication,approved,
star pizza,takeaway,high,gating_adjudication,approved,
the north face,clothing_outdoor,high,gating_adjudication,approved,
star fish bar,takeaway,high,gating_adjudication,approved,
wiggleys fun farm ltd,days_out,high,gating_adjudication,approved,
mercato metropolitano,restaurant_cafe,high,gating_adjudication,approved,
ideal world,retail_tv_online_shopping,high,gating_adjudication,approved,
premier man,clothing_mens,high,gating_adjudication,approved,
the orange tree,pub_bar,high,gating_adjudication,approved,
punch bowl,pub_bar,high,gating_adjudication,approved,
avg,software,high,gating_adjudication,approved,
brass monkey,pub_bar,high,gating_adjudication,approved,
thai express,takeaway,high,gating_adjudication,approved,
euphorium bakery,restaurant_cafe,high,gating_adjudication,approved,
lily's kitchen,pet_supplies,high,gating_adjudication,approved,
best meat,groceries_specialist,high,gating_adjudication,approved,
polani travel,travel_other,high,gating_adjudication,approved,
jin bo law uk limited,legal_services,high,gating_adjudication,approved,
the sheaf island,pub_bar,high,gating_adjudication,approved,
flair afro cosmetics,skin_hair_care,high,gating_adjudication,approved,
corgi homeplan,insurance_home,high,gating_adjudication,approved,
the real china,restaurant_cafe,high,gating_adjudication,approved,
livecareer,career_services,high,gating_adjudication,approved,
school uniform direct,clothing_childrens,high,gating_adjudication,approved,
emigrantas tv,streaming,high,gating_adjudication,approved,
pactcoffee,groceries_specialist,high,gating_adjudication,approved,
interactive investor,investment_trading,high,gating_adjudication,approved,
yew tree mini market,convenience_store,high,gating_adjudication,approved,
a&f bargains ltd,discount_store,high,gating_adjudication,approved,
atlassian,software,high,gating_adjudication,approved,
ultrasound direct,health_other,high,gating_adjudication,approved,
lacoste,clothing_general,high,gating_adjudication,approved,
traid,charity_shop,high,gating_adjudication,approved,
residential management group,property_management,high,gating_adjudication,approved,
elemis,skin_hair_care,high,gating_adjudication,approved,
parklands country club,private_members_club,high,gating_adjudication,approved,
uk usa eliquids ltd,vaping,high,gating_adjudication,approved,
top wok,takeaway,high,gating_adjudication,approved,
findmeagift,gifts_flowers,high,gating_adjudication,approved,
dr martens,footwear,high,gating_adjudication,approved,
the beauty room,beauty_treatment,high,gating_adjudication,approved,
kcom,broadband_tv_phone,high,gating_adjudication,approved,
revolution skatepark,sports_participation,high,gating_adjudication,approved,
missguided,clothing_womens,high,gating_adjudication,approved,
workwear express,clothing_workwear,high,gating_adjudication,approved,
health express,pharmacy,high,gating_adjudication,approved,
triple s caterers,catering,high,gating_adjudication,approved,
sandwi on the go ltd,takeaway,high,gating_adjudication,approved,
daniel footwear,footwear,high,gating_adjudication,approved,
office shoes,footwear,high,gating_adjudication,approved,
the bedford,pub_bar,high,gating_adjudication,approved,"The Wirral merchant is a pub, supporting pub_bar. Source: https://thebedfordlukes.co.uk/"
